排名,学校名称,标签,省市,类型
1,清华大学,双一流/985/211,北京,综合
2,北京大学,双一流/985/211,北京,综合
3,浙江大学,双一流/985/211,浙江,综合
4,上海交通大学,双一流/985/211,上海,综合
5,复旦大学,双一流/985/211,上海,综合
6,南京大学,双一流/985/211,江苏,综合
7,中国科学技术大学,双一流/985/211,安徽,理工
8,武汉大学,双一流/985/211,湖北,综合
9,华中科技大学,双一流/985/211,湖北,综合
10,西安交通大学,双一流/985/211,陕西,综合
11,北京航空航天大学,双一流/985/211,北京,理工
12,哈尔滨工业大学,双一流/985/211,黑龙江,理工
13,中山大学,双一流/985/211,广东,综合
14,北京理工大学,双一流/985/211,北京,理工
医1,北京协和医学院,双一流,北京,医药
15,东南大学,双一流/985/211,江苏,综合
16,四川大学,双一流/985/211,四川,综合
17,中国人民大学,双一流/985/211,北京,综合
18,同济大学,双一流/985/211,上海,综合
19,北京师范大学,双一流/985/211,北京,师范
20,天津大学,双一流/985/211,天津,理工
21,南开大学,双一流/985/211,天津,综合
22,山东大学,双一流/985/211,山东,综合
23,西北工业大学,双一流/985/211,陕西,理工
24,中国农业大学,双一流/985/211,北京,农业
25,厦门大学,双一流/985/211,福建,综合
26,吉林大学,双一流/985/211,吉林,综合
27,中南大学,双一流/985/211,湖南,综合
28,大连理工大学,双一流/985/211,辽宁,理工
29,华东师范大学,双一流/985/211,上海,师范
30,南方科技大学,双一流,广东,综合
31,湖南大学,双一流/985/211,湖南,综合
32,华南理工大学,双一流/985/211,广东,理工
33,电子科技大学,双一流/985/211,四川,理工
34,重庆大学,双一流/985/211,重庆,综合
35,北京科技大学,双一流/211,北京,理工
财1,上海财经大学,双一流/211,上海,财经
36,南京理工大学,双一流/211,江苏,理工
37,南京航空航天大学,双一流/211,江苏,理工
医2,首都医科大学,-,北京,医药
38,东北大学,双一流/985/211,辽宁,理工
39,西安电子科技大学,双一流/211,陕西,理工
合作1,香港中文大学（深圳）,-,广东,综合
40,兰州大学,双一流/985/211,甘肃,综合
41,北京交通大学,双一流/211,北京,理工
42,华东理工大学,双一流/211,上海,理工
财2,中央财经大学,双一流/211,北京,财经
医3,南方医科大学,-,广东,医药
43,哈尔滨工程大学,双一流/211,黑龙江,理工
44,郑州大学,双一流/211,河南,综合
45,华中农业大学,双一流/211,湖北,农业
医4,南京医科大学,双一流,江苏,医药
46,苏州大学,双一流/211,江苏,综合
47,上海科技大学,双一流,上海,综合
48,东北师范大学,双一流/211,吉林,师范
49,西南交通大学,双一流/211,四川,理工
50,北京邮电大学,双一流/211,北京,理工
51,中国海洋大学,双一流/985/211,山东,综合
52,江南大学,双一流/211,江苏,综合
53,华中师范大学,双一流/211,湖北,师范
54,武汉理工大学,双一流/211,湖北,理工
55,南京农业大学,双一流/211,江苏,农业
56,中国地质大学（武汉）,双一流/211,湖北,理工
政1,中国政法大学,双一流/211,北京,政法
57,北京化工大学,双一流/211,北京,理工
财3,对外经济贸易大学,双一流/211,北京,财经
财4,中南财经政法大学,双一流/211,湖北,财经
58,南京师范大学,双一流/211,江苏,师范
59,暨南大学,双一流/211,广东,综合
60,上海大学,双一流/211,上海,综合
医5,天津医科大学,双一流/211,天津,医药
61,西南大学,双一流/211,重庆,综合
62,中国石油大学（北京）,双一流/211,北京,理工
医6,中国医科大学,-,辽宁,医药
63,河海大学,双一流/211,江苏,理工
63,陕西师范大学,双一流/211,陕西,师范
中医1,北京中医药大学,双一流/211,北京,中医药
65,北京工业大学,双一流/211,北京,理工
合作2,宁波诺丁汉大学,-,浙江,综合
66,深圳大学,-,广东,综合
财5,西南财经大学,双一流/211,四川,财经
67,中国矿业大学,双一流/211,江苏,理工
68,浙江工业大学,-,浙江,理工
69,西北农林科技大学,双一流/985/211,陕西,农业
中医2,上海中医药大学,双一流,上海,中医药
70,西北大学,双一流/211,陕西,综合
71,云南大学,双一流/211,云南,综合
72,东华大学,双一流/211,上海,理工
73,中国石油大学（华东）,双一流/211,山东,理工
74,南昌大学,双一流/211,江西,综合
75,中国地质大学（北京）,双一流/211,北京,理工
76,中国矿业大学（北京）,双一流/211,北京,理工
77,福州大学,双一流/211,福建,理工
78,宁波大学,双一流,浙江,综合
合作3,上海纽约大学,-,上海,综合
79,华南师范大学,双一流/211,广东,师范
民1,中央民族大学,双一流/985/211,北京,民族
医7,广州医科大学,双一流,广东,医药
医8,哈尔滨医科大学,-,黑龙江,医药
