排名,学校名称,标签,省市,类型
医9,温州医科大学,-,浙江,医药
民1,中央民族大学,双一流/985/211,北京,民族
81,南京邮电大学,双一流,江苏,理工
财6,东北财经大学,-,辽宁,财经
82,江苏大学,-,江苏,综合
语1,北京外国语大学,双一流/211,北京,语言
语2,上海外国语大学,双一流/211,上海,语言
83,华北电力大学,双一流/211,北京,理工
语3,中国传媒大学,双一流/211,北京,语言
84,长安大学,双一流/211,陕西,理工
85,北京林业大学,双一流/211,北京,林业
86,贵州大学,双一流/211,贵州,综合
医11,重庆医科大学,-,重庆,医药
医10,中国药科大学,双一流/211,江苏,医药
87,福建师范大学,-,福建,师范
88,湖南师范大学,双一流/211,湖南,师范
89,广西大学,双一流/211,广西,综合
90,南京林业大学,双一流,江苏,林业
91,扬州大学,-,江苏,综合
92,浙江师范大学,-,浙江,师范
93,海南大学,双一流/211,海南,综合
94,南京工业大学,-,江苏,理工
中医3,南京中医药大学,双一流,江苏,中医药
95,南京信息工程大学,双一流,江苏,理工
96,广东工业大学,-,广东,理工
97,杭州电子科技大学,-,浙江,理工
语4,外交学院,双一流,北京,语言
98,安徽大学,双一流/211,安徽,综合
99,首都师范大学,双一流,北京,师范
100,华南农业大学,双一流,广东,农业
中医4,广州中医药大学,双一流,广东,中医药
101,山西大学,双一流,山西,综合
财7,江西财经大学,-,江西,财经
财8,浙江工商大学,-,浙江,财经
102,河南大学,双一流,河南,综合
103,太原理工大学,双一流/211,山西,理工
合作5,昆山杜克大学,-,江苏,综合
合作4,西交利物浦大学,-,江苏,综合
104,山东师范大学,-,山东,师范
医12,大连医科大学,-,辽宁,医药
医12,河北医科大学,-,河北,医药
105,广州大学,-,广东,综合
106,浙江理工大学,-,浙江,理工
合作6,深圳北理莫斯科大学,-,广东,综合
107,湘潭大学,双一流,湖南,综合
108,上海理工大学,-,上海,理工
109,河北工业大学,双一流/211,河北,理工
110,大连海事大学,双一流/211,辽宁,综合
111,青岛大学,-,山东,综合
112,燕山大学,-,河北,理工
113,东北林业大学,双一流/211,黑龙江,林业
114,杭州师范大学,-,浙江,师范
115,西安建筑科技大学,-,陕西,理工
116,湖北大学,-,湖北,综合
医14,福建医科大学,-,福建,医药
117,昆明理工大学,-,云南,理工
政2,华东政法大学,-,上海,政法
财9,首都经济贸易大学,-,北京,财经
政3,西南政法大学,-,重庆,政法
118,内蒙古大学,双一流/211,内蒙古,综合
119,西安理工大学,-,陕西,理工
语5,北京语言大学,-,北京,语言
中医5,浙江中医药大学,-,浙江,中医药
120,武汉科技大学,-,湖北,理工
中医6,天津中医药大学,双一流,天津,中医药
121,江西师范大学,-,江西,师范
中医7,成都中医药大学,双一流,四川,中医药
122,东北农业大学,双一流/211,黑龙江,农业
122,西南石油大学,双一流,四川,理工
124,上海师范大学,-,上海,师范
合作7,北京师范大学-香港浸会大学联合国际学院,-,广东,综合
125,福建农林大学,-,福建,农业
126,温州大学,-,浙江,综合
127,长沙理工大学,-,湖南,理工
127,新疆大学,双一流/211,新疆,综合
语6,广东外语外贸大学,-,广东,语言
财10,南京财经大学,-,江苏,财经
129,河北大学,-,河北,综合
财11,北京工商大学,-,北京,财经
130,山东科技大学,-,山东,理工
131,辽宁大学,双一流/211,辽宁,综合
132,成都理工大学,双一流,四川,理工
体1,上海体育大学,双一流,上海,体育
财12,浙江财经大学,-,浙江,财经
133,山东农业大学,-,山东,农业
134,宁夏大学,双一流/211,宁夏,综合
135,华侨大学,-,福建,综合
135,陕西科技大学,-,陕西,理工
医15,安徽医科大学,-,安徽,医药
医16,山西医科大学,-,山西,医药
137,天津工业大学,双一流,天津,理工
138,长春理工大学,-,吉林,理工
139,安徽师范大学,-,安徽,师范
政4,中国人民公安大学,双一流,北京,政法
140,石河子大学,双一流/211,新疆,综合
财13,山东财经大学,-,山东,财经
141,四川农业大学,双一流/211,四川,农业
142,天津师范大学,-,天津,师范
财14,南京审计大学,-,江苏,财经
143,上海海洋大学,双一流,上海,农业
144,江苏科技大学,-,江苏,理工
145,齐鲁工业大学,-,山东,理工
财15,上海对外经贸大学,-,上海,财经
146,中国计量大学,-,浙江,理工
147,黑龙江大学,-,黑龙江,综合
医17,广西医科大学,-,广西,医药
148,安徽农业大学,-,安徽,农业
148,湖北工业大学,-,湖北,理工
民2,中南民族大学,-,湖北,民族
150,浙江农林大学,-,浙江,林业
151,南通大学,-,江苏,综合
合作8,温州肯恩大学,-,浙江,综合
152,河南农业大学,-,河南,农业
153,重庆邮电大学,-,重庆,理工
154,常州大学,-,江苏,理工
155,广西师范大学,-,广西,师范
156,湖南农业大学,-,湖南,农业
157,曲阜师范大学,-,山东,师范
158,吉林农业大学,-,吉林,农业
医18,徐州医科大学,-,江苏,医药
159,武汉纺织大学,-,湖北,理工
160,武汉工程大学,-,湖北,理工
161,河南师范大学,-,河南,师范
162,天津科技大学,-,天津,理工
163,辽宁师范大学,-,辽宁,师范
医19,山东第一医科大学,-,山东,医药
164,江苏师范大学,-,江苏,师范
中医8,湖南中医药大学,-,湖南,中医药
165,北京建筑大学,-,北京,理工
166,汕头大学,-,广东,综合
167,集美大学,-,福建,综合
168,青岛科技大学,-,山东,理工
168,三峡大学,-,湖北,综合
168,延边大学,双一流/211,吉林,综合
中医9,山东中医药大学,-,山东,中医药
医20,沈阳药科大学,-,辽宁,医药
171,沈阳农业大学,-,辽宁,农业
172,河南科技大学,-,河南,综合
财16,天津财经大学,-,天津,财经
173,中北大学,-,山西,理工
174,济南大学,-,山东,综合
175,华东交通大学,-,江西,理工
176,上海海事大学,-,上海,综合
中医10,辽宁中医药大学,-,辽宁,中医药
177,南昌航空大学,-,江西,理工
178,河北师范大学,-,河北,师范
179,西北师范大学,-,甘肃,师范
中医11,长春中医药大学,-,吉林,中医药
中医11,河南中医药大学,-,河南,中医药
180,天津理工大学,-,天津,理工
体2,北京体育大学,双一流/211,北京,体育
医21,宁夏医科大学,-,宁夏,医药
政5,西北政法大学,-,陕西,政法
181,湖南科技大学,-,湖南,综合
182,国际关系学院,-,北京,综合
183,沈阳航空航天大学,-,辽宁,理工
184,河南理工大学,-,河南,理工
185,长江大学,-,湖北,综合
186,上海电力大学,-,上海,理工
187,南华大学,-,湖南,综合
187,沈阳工业大学,-,辽宁,理工
189,重庆交通大学,-,重庆,理工
190,安徽工业大学,-,安徽,理工
190,江西理工大学,-,江西,理工
医22,西南医科大学,-,四川,医药
192,西安科技大学,-,陕西,理工
193,安徽理工大学,-,安徽,理工
194,山东理工大学,-,山东,理工
195,西藏大学,双一流/211,西藏,综合
196,江西农业大学,-,江西,农业
197,河北农业大学,-,河北,农业
财17,安徽财经大学,-,安徽,财经
198,青海大学,双一流/211,青海,综合
199,兰州理工大学,-,甘肃,理工
200,西安邮电大学,-,陕西,理工
中医13,安徽中医药大学,-,安徽,中医药
医23,新乡医学院,-,河南,医药
201,桂林电子科技大学,-,广西,理工
201,四川师范大学,-,四川,师范
203,云南师范大学,-,云南,师范
语7,北京第二外国语学院,-,北京,语言
204,北京信息科技大学,-,北京,理工
中医14,黑龙江中医药大学,-,黑龙江,中医药
205,烟台大学,-,山东,综合
医24,昆明医科大学,-,云南,医药
206,苏州科技大学,-,江苏,理工
207,中南林业科技大学,-,湖南,林业
208,西南科技大学,-,四川,理工
医25,新疆医科大学,-,新疆,医药
209,兰州交通大学,-,甘肃,理工
210,青岛理工大学,-,山东,理工
医26,滨州医学院,-,山东,医药
中医15,江西中医药大学,-,江西,中医药
211,湖州师范学院,-,浙江,师范
民3,西南民族大学,-,四川,民族
212,西安工业大学,-,陕西,理工
政6,上海政法学院,-,上海,政法
213,哈尔滨师范大学,-,黑龙江,师范
214,东华理工大学,-,江西,理工
215,北方工业大学,-,北京,理工
216,北京电子科技学院,-,北京,理工
中医16,湖北中医药大学,-,湖北,中医药
217,东北石油大学,-,黑龙江,理工
218,重庆师范大学,-,重庆,师范
财18,山西财经大学,-,山西,财经
219,沈阳建筑大学,-,辽宁,理工
医27,山东第二医科大学,-,山东,医药
医28,遵义医科大学,-,贵州,医药
220,内蒙古农业大学,-,内蒙古,农业
221,内蒙古师范大学,-,内蒙古,师范
222,大连工业大学,-,辽宁,理工
中医17,广西中医药大学,-,广西,中医药
223,石家庄铁道大学,-,河北,理工
224,河南工业大学,-,河南,理工
医29,湖北医药学院,-,湖北,医药
225,嘉兴大学,-,浙江,综合
226,海南师范大学,-,海南,师范
227,山西农业大学,-,山西,农业
228,青岛农业大学,-,山东,农业
中医18,福建中医药大学,-,福建,中医药
229,东北电力大学,-,吉林,理工
229,浙江海洋大学,-,浙江,农业
医30,内蒙古医科大学,-,内蒙古,医药
医31,贵州医科大学,-,贵州,医药
231,浙江科技大学,-,浙江,理工
232,成都大学,-,四川,综合
233,哈尔滨理工大学,-,黑龙江,理工
234,上海工程技术大学,-,上海,理工
财19,吉林财经大学,-,吉林,财经
235,西安石油大学,-,陕西,理工
236,上海应用技术大学,-,上海,理工
财21,重庆工商大学,-,重庆,财经
财20,广东财经大学,-,广东,财经
语8,西安外国语大学,-,陕西,语言
237,贵州师范大学,-,贵州,师范
238,河北科技大学,-,河北,理工
239,佛山大学,-,广东,理工
240,青海师范大学,-,青海,师范
241,甘肃农业大学,-,甘肃,农业
语9,四川外国语大学,-,重庆,语言
242,东莞理工学院,-,广东,理工
243,中国民航大学,-,天津,理工
244,重庆理工大学,-,重庆,理工
财22,北京物资学院,-,北京,财经
体3,首都体育学院,-,北京,体育
245,华北水利水电大学,-,河南,理工
政7,中国刑事警察学院,-,辽宁,政法
246,武汉轻工大学,-,湖北,理工
财23,河南财经政法大学,-,河南,财经
247,鲁东大学,-,山东,综合
语10,大连外国语大学,-,辽宁,语言
248,赣南师范大学,-,江西,师范
医32,海南医科大学,-,海南,医药
中医19,陕西中医药大学,-,陕西,中医药
249,山东建筑大学,-,山东,理工
250,江汉大学,-,湖北,综合
251,浙大城市学院,-,浙江,理工
财24,河北经贸大学,-,河北,财经
政8,江苏警官学院,-,江苏,政法
252,聊城大学,-,山东,综合
民4,广西民族大学,-,广西,民族
财25,湖南工商大学,-,湖南,财经
253,沈阳化工大学,-,辽宁,理工
254,桂林理工大学,-,广西,理工
255,成都信息工程大学,-,四川,理工
256,西安工程大学,-,陕西,理工
256,郑州轻工业大学,-,河南,理工
医33,广东医科大学,-,广东,医药
财26,上海立信会计金融学院,-,上海,财经
258,安徽工程大学,-,安徽,理工
258,西华师范大学,-,四川,师范
医34,锦州医科大学,-,辽宁,医药
260,大连交通大学,-,辽宁,理工
261,南京工程学院,-,江苏,理工
262,上海海关学院,-,上海,综合
263,辽宁石油化工大学,-,辽宁,理工
264,沈阳理工大学,-,辽宁,理工
265,绍兴文理学院,-,浙江,师范
266,延安大学,-,陕西,综合
中医20,河北中医药大学,-,河北,中医药
267,内蒙古工业大学,-,内蒙古,理工
267,沈阳大学,-,辽宁,综合
医35,蚌埠医科大学,-,安徽,医药
民5,大连民族大学,-,辽宁,民族
语11,浙江传媒学院,-,浙江,语言
269,厦门理工学院,-,福建,理工
270,西华大学,-,四川,综合
271,长春工业大学,-,吉林,理工
财28,天津商业大学,-,天津,财经
财27,郑州航空工业管理学院,-,河南,财经
272,沈阳师范大学,-,辽宁,师范
中医21,贵州中医药大学,-,贵州,中医药
273,大连大学,-,辽宁,综合
273,华北理工大学,-,河北,综合
医36,川北医学院,-,四川,医药
医37,沈阳医学院,-,辽宁,医药
275,安徽建筑大学,-,安徽,理工
医38,广东药科大学,-,广东,医药
财29,湖北经济学院,-,湖北,财经
276,湖南工业大学,-,湖南,理工
医39,桂林医学院,-,广西,医药
政9,中国人民警察大学,-,河北,政法
277,井冈山大学,-,江西,综合
民6,西藏民族大学,-,西藏,民族
278,山西师范大学,-,山西,师范
279,辽宁工程技术大学,-,辽宁,理工
280,北京农学院,-,北京,农业
281,浙大宁波理工学院,-,浙江,理工
财30,贵州财经大学,-,贵州,财经
282,福建理工大学,-,福建,理工
语12,浙江外国语学院,-,浙江,语言
283,常熟理工学院,-,江苏,理工
284,中原工学院,-,河南,理工
中医22,山西中医药大学,-,山西,中医药
语13,天津外国语大学,-,天津,语言
政11,浙江警察学院,-,浙江,政法
政10,中国劳动关系学院,-,北京,政法
285,合肥大学,-,安徽,理工
政12,四川警察学院,-,四川,政法
286,重庆科技大学,-,重庆,理工
287,渤海大学,-,辽宁,综合
288,云南农业大学,-,云南,农业
289,台州学院,-,浙江,综合
290,大理大学,-,云南,综合
291,太原科技大学,-,山西,理工
292,黑龙江八一农垦大学,-,黑龙江,农业
体4,武汉体育学院,-,湖北,体育
293,宁波工程学院,-,浙江,理工
中医23,西藏藏医药大学,-,西藏,中医药
中医23,云南中医药大学,-,云南,中医药
294,深圳技术大学,-,广东,综合
政13,南京警察学院,-,江苏,政法
财31,西安财经大学,-,陕西,财经
财31,云南财经大学,-,云南,财经
295,河北工程大学,-,河北,理工
296,辽宁科技大学,-,辽宁,理工
297,北京联合大学,-,北京,综合
297,北京石油化工学院,-,北京,理工
民8,北方民族大学,-,宁夏,民族
医40,杭州医学院,-,浙江,医药
民7,西北民族大学,-,甘肃,民族
299,新疆农业大学,-,新疆,农业
民9,贵州民族大学,-,贵州,民族
医41,皖南医学院,-,安徽,医药
300,吉首大学,-,湖南,综合
300,辽宁工业大学,-,辽宁,理工
民10,云南民族大学,-,云南,民族
302,北京印刷学院,-,北京,理工
303,闽南师范大学,-,福建,师范
体5,沈阳体育学院,-,辽宁,体育
304,淮阴工学院,-,江苏,理工
医42,承德医学院,-,河北,医药
305,闽江学院,-,福建,理工
306,广东海洋大学,-,广东,农业
财33,哈尔滨商业大学,-,黑龙江,财经
307,信阳师范大学,-,河南,师范
308,河北地质大学,-,河北,综合
309,北华大学,-,吉林,综合
310,吉林师范大学,-,吉林,师范
中医25,甘肃中医药大学,-,甘肃,中医药
311,临沂大学,-,山东,综合
312,淮北师范大学,-,安徽,师范
313,大连海洋大学,-,辽宁,农业
314,南宁师范大学,-,广西,师范
315,盐城工学院,-,江苏,理工
316,吉林建筑大学,-,吉林,理工
317,无锡学院,-,江苏,综合
318,塔里木大学,-,新疆,综合
319,广东技术师范大学,-,广东,师范
320,长沙学院,-,湖南,理工
321,景德镇陶瓷大学,-,江西,理工
322,河南科技学院,-,河南,师范
322,江苏海洋大学,-,江苏,理工
民11,青海民族大学,-,青海,民族
财34,山东工商学院,-,山东,财经
324,天津城建大学,-,天津,理工
325,湖北师范大学,-,湖北,师范
326,贵州师范学院,-,贵州,师范
医43,赣南医科大学,-,江西,医药
医43,上海健康医学院,-,上海,医药
327,江西科技师范大学,-,江西,师范
政14,甘肃政法大学,-,甘肃,政法
328,西南林业大学,-,云南,林业
329,五邑大学,-,广东,综合
医45,济宁医学院,-,山东,医药
330,内蒙古科技大学,-,内蒙古,综合
331,南京晓庄学院,-,江苏,师范
332,长春师范大学,-,吉林,师范
333,长江师范学院,-,重庆,师范
333,重庆文理学院,-,重庆,综合
语14,中华女子学院,-,北京,语言
财35,内蒙古财经大学,-,内蒙古,财经
335,新疆师范大学,-,新疆,师范
336,安庆师范大学,-,安徽,师范
336,淮阴师范学院,-,江苏,师范
体6,天津体育学院,-,天津,体育
338,浙江万里学院,-,浙江,理工
339,江苏理工学院,-,江苏,理工
340,上海电机学院,-,上海,理工
341,上海第二工业大学,-,上海,理工
342,四川轻化工大学,-,四川,理工
政15,北京警察学院,-,北京,政法
343,常州工学院,-,江苏,理工
体7,成都体育学院,-,四川,体育
财36,上海商学院,-,上海,财经
344,湖南理工学院,-,湖南,理工
医46,成都医学院,-,四川,医药
345,盐城师范学院,-,江苏,师范
民12,湖北民族大学,-,湖北,民族
346,仲恺农业工程学院,-,广东,农业
347,湖北汽车工业学院,-,湖北,理工
348,广西科技大学,-,广西,理工
348,黄冈师范学院,-,湖北,师范
350,南昌工程学院,-,江西,理工
政16,中央司法警官学院,-,河北,政法
351,榆林学院,-,陕西,师范
财37,新疆财经大学,-,新疆,财经
352,金陵科技学院,-,江苏,理工
352,山东交通学院,-,山东,理工
体8,南京体育学院,-,江苏,体育
354,湖北第二师范学院,-,湖北,师范
政17,广东警官学院,-,广东,政法
355,徐州工程学院,-,江苏,理工
356,天津农学院,-,天津,农业
357,泉州师范学院,-,福建,师范
医47,牡丹江医科大学,-,黑龙江,医药
358,湖北文理学院,-,湖北,综合
359,洛阳师范学院,-,河南,师范
360,天津职业技术师范大学,-,天津,师范
政18,重庆警察学院,-,重庆,政法
医48,齐齐哈尔医学院,-,黑龙江,医药
医49,右江民族医学院,-,广西,医药
361,陕西理工大学,-,陕西,理工
362,湖南第一师范学院,-,湖南,师范
体9,广州体育学院,-,广东,体育
民13,内蒙古民族大学,-,内蒙古,民族
363,合肥师范学院,-,安徽,师范
364,广东石油化工学院,-,广东,综合
365,安徽科技学院,-,安徽,师范
365,绵阳师范学院,-,四川,师范
367,衢州学院,-,浙江,理工
财38,广东金融学院,-,广东,财经
医50,西安医学院,-,陕西,医药
368,贵阳学院,-,贵州,综合
369,惠州学院,-,广东,综合
370,三明学院,-,福建,综合
371,齐齐哈尔大学,-,黑龙江,综合
医51,河北北方学院,-,河北,医药
372,重庆三峡学院,-,重庆,综合
政19,河南警察学院,-,河南,政法
373,长春工程学院,-,吉林,理工
373,丽水学院,-,浙江,师范
375,衡阳师范学院,-,湖南,师范
376,西藏农牧学院,-,西藏,农业
财39,兰州财经大学,-,甘肃,财经
医52,内蒙古科技大学包头医学院,-,内蒙古,医药
医53,厦门医学院,-,福建,医药
377,攀枝花学院,-,四川,综合
378,湘南学院,-,湖南,理工
379,长春大学,-,吉林,综合
379,铜仁学院,-,贵州,综合
381,湖北科技学院,-,湖北,综合
381,洛阳理工学院,-,河南,综合
383,中国民用航空飞行学院,-,四川,理工
384,岭南师范学院,-,广东,师范
政20,郑州警察学院,-,河南,政法
385,阜阳师范大学,-,安徽,师范
385,佳木斯大学,-,黑龙江,综合
385,黔南民族师范学院,-,贵州,师范
385,泰山学院,-,山东,综合
体10,山东体育学院,-,山东,体育
389,黑龙江科技大学,-,黑龙江,理工
390,龙岩学院,-,福建,综合
391,防灾科技学院,-,河北,理工
392,成都师范学院,-,四川,师范
393,内江师范学院,-,四川,师范
394,滁州学院,-,安徽,师范
395,湖北理工学院,-,湖北,理工
政21,山东政法学院,-,山东,政法
396,周口师范学院,-,河南,师范
397,河北科技师范学院,-,河北,师范
397,江苏第二师范学院,-,江苏,师范
政22,辽宁警察学院,-,辽宁,政法
财40,河北金融学院,-,河北,财经
399,山东航空学院,-,山东,理工
400,怀化学院,-,湖南,综合
政23,云南警官学院,-,云南,政法
401,沈阳工程学院,-,辽宁,理工
财41,福建江夏学院,-,福建,财经
402,莆田学院,-,福建,综合
403,湖南城市学院,-,湖南,综合
404,北华航天工业学院,-,河北,理工
405,韶关学院,-,广东,综合
406,湖南工程学院,-,湖南,理工
407,曲靖师范学院,-,云南,师范
408,湖南文理学院,-,湖南,综合
408,浙江水利水电学院,-,浙江,理工
410,潍坊学院,-,山东,综合
411,宜宾学院,-,四川,综合
412,德州学院,-,山东,综合
412,皖西学院,-,安徽,师范
414,南阳师范学院,-,河南,师范
415,北部湾大学,-,广西,综合
416,贵州理工学院,-,贵州,理工
416,湖南科技学院,-,湖南,综合
418,枣庄学院,-,山东,综合
政24,福建警察学院,-,福建,政法
财43,湖南财政经济学院,-,湖南,财经
财42,嘉兴南湖学院,-,浙江,财经
419,牡丹江师范学院,-,黑龙江,师范
420,宿迁学院,-,江苏,综合
421,太原师范学院,-,山西,师范
422,邵阳学院,-,湖南,理工
423,广东第二师范学院,-,广东,师范
423,玉林师范学院,-,广西,师范
425,石家庄学院,-,河北,师范
财44,广西财经学院,-,广西,财经
426,通化师范学院,-,吉林,师范
426,西安文理学院,-,陕西,师范
428,河南工程学院,-,河南,理工
428,肇庆学院,-,广东,综合
428,遵义师范学院,-,贵州,师范
政25,吉林警察学院,-,吉林,政法
体11,西安体育学院,-,陕西,体育
体12,哈尔滨体育学院,-,黑龙江,体育
431,黑龙江工程学院,-,黑龙江,理工
431,昆明学院,-,云南,综合
医54,长治医学院,-,山西,医药
433,宁德师范学院,-,福建,师范
政26,湖北警官学院,-,湖北,政法
434,南阳理工学院,-,河南,理工
434,武夷学院,-,福建,综合
436,黄淮学院,-,河南,师范
437,宜春学院,-,江西,综合
438,吉林化工学院,-,吉林,理工
439,许昌学院,-,河南,理工
医55,吉林医药学院,-,吉林,医药
440,韩山师范学院,-,广东,师范
440,上饶师范学院,-,江西,师范
政27,湖南警察学院,-,湖南,政法
442,宝鸡文理学院,-,陕西,师范
442,重庆第二师范学院,-,重庆,师范
442,乐山师范学院,-,四川,师范
445,淮南师范学院,-,安徽,师范
445,温州理工学院,-,浙江,理工
447,安阳师范学院,-,河南,师范
448,西昌学院,-,四川,综合
449,广州航海学院,-,广东,理工
450,河南城建学院,-,河南,理工
451,齐鲁师范学院,-,山东,师范
452,湖州学院,-,浙江,师范
453,天水师范学院,-,甘肃,师范
454,湖南人文科技学院,-,湖南,师范
454,唐山师范学院,-,河北,师范
456,商丘师范学院,-,河南,师范
457,成都工业学院,-,四川,理工
457,六盘水师范学院,-,贵州,师范
财45,武汉商学院,-,湖北,财经
459,巢湖学院,-,安徽,师范
460,贺州学院,-,广西,综合
460,内蒙古科技大学包头师范学院,-,内蒙古,综合
460,平顶山学院,-,河南,师范
463,南昌师范学院,-,江西,师范
463,渭南师范学院,-,陕西,师范
465,宁夏师范大学,-,宁夏,师范
体13,吉林体育学院,-,吉林,体育
466,湖南工学院,-,湖南,理工
467,鞍山师范学院,-,辽宁,师范
468,哈尔滨学院,-,黑龙江,综合
468,湖北工程学院,-,湖北,综合
医56,南昌医学院,-,江西,医药
政28,山东警察学院,-,山东,政法
政29,上海公安学院,-,上海,政法
470,吉林工程技术师范学院,-,吉林,师范
471,廊坊师范学院,-,河北,师范
472,西安航空学院,-,陕西,理工
473,信阳农林学院,-,河南,农业
474,山西大同大学,-,山西,综合
475,黄山学院,-,安徽,师范
475,嘉应学院,-,广东,综合
政30,江西警察学院,-,江西,政法
477,福建技术师范学院,-,福建,师范
478,四川旅游学院,-,四川,综合
478,咸阳师范学院,-,陕西,师范
480,南京特殊教育师范学院,-,江苏,师范
480,宿州学院,-,安徽,师范
482,凯里学院,-,贵州,综合
483,海南热带海洋学院,-,海南,综合
483,九江学院,-,江西,综合
485,山东管理学院,-,山东,综合
486,玉溪师范学院,-,云南,师范
487,安阳工学院,-,河南,理工
487,新乡学院,-,河南,理工
财46,铜陵学院,-,安徽,财经
489,河西学院,-,甘肃,综合
490,太原工业学院,-,山西,理工
491,山东女子学院,-,山东,综合
491,伊犁师范大学,-,新疆,师范
493,河北建筑工程学院,-,河北,理工
494,赤峰学院,-,内蒙古,综合
495,琼台师范学院,-,海南,师范
496,陇东学院,-,甘肃,师范
496,苏州城市学院,-,江苏,综合
政31,贵州警察学院,-,贵州,政法
498,营口理工学院,-,辽宁,理工
499,大庆师范学院,-,黑龙江,综合
500,华北科技学院,-,河北,理工
500+,阿坝师范学院,-,四川,师范
500+,安康学院,-,陕西,综合
500+,安顺学院,-,贵州,综合
500+,白城师范学院,-,吉林,师范
500+,百色学院,-,广西,综合
500+,保定学院,-,河北,师范
500+,保山学院,-,云南,师范
500+,蚌埠学院,-,安徽,理工
500+,亳州学院,-,安徽,师范
500+,沧州师范学院,-,河北,师范
